rank;name;old_team;pos;gp;goals;assists;points;f_goals;f_assists;f_points;pm;ppg;shg;f_shg;gw;ot
406;Alexei Emelin;MTL;D;59;3;14;17;6;14;20;-1;1;0;0;0;0
407;Andrew Desjardins;SJS;C;81;3;14;17;6;14;20;-8;0;0;0;1;0
408;Nate Thompson;TBL;C;81;9;7;16;18;7;25;3;0;2;4;1;1
409;Rene Bourque;MTL;R;63;9;7;16;18;7;25;-1;3;0;0;2;0
410;Todd Bertuzzi;DET;R;59;9;7;16;18;7;25;-17;6;0;0;0;0
411;Casey Cizikas;NYI;C;80;6;10;16;12;10;22;-12;1;0;0;1;0
412;Erik Condra;OTT;R;76;6;10;16;12;10;22;0;0;1;2;0;0
413;Dale Weise;VAN, MTL;R;61;6;10;16;12;10;22;3;1;0;0;1;0
414;Blake Comeau;CBJ;L;61;5;11;16;10;11;21;-2;0;0;0;0;0
415;Michal Handzus;CHI;C;59;4;12;16;8;12;20;0;0;1;2;2;0
416;Johnny Oduya;CHI;D;77;3;13;16;6;13;19;11;0;0;0;1;0
417;Michael Del Zotto;NYR, NSH;D;67;3;13;16;6;13;19;-9;1;0;0;0;0
418;Calvin de Haan;NYI;D;51;3;13;16;6;13;19;-7;1;0;0;1;0
419;Chris Butler;CGY;D;82;2;14;16;4;14;18;-23;0;0;0;1;1
420;Matt Donovan;NYI;D;52;2;14;16;4;14;18;-9;1;0;0;0;0
421;Ryan Stanton;VAN;D;64;1;15;16;2;15;17;5;0;0;0;0;0
422;Bryan Bickell;CHI;L;59;11;4;15;22;4;26;-6;0;0;0;2;0
